Task ID,Device ID,Source Node,Destination Node,Success,Path,Latency,Task type,IP Allocation 
189.0,1940.0,shijiangzhuang_man1,49,True,shijiangzhuang_man1-shijiangzhuang_edge2,11.040125062883442,1.0,,GA
190.0,23744.0,handan_man1,54,True,handan_man1-handan_edge1,1.0230908698930274,1.0,,GA
191.0,86833.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.014940583149454,1.0,,GA
192.0,1813.0,handan_man1,54,True,handan_man1-handan_edge1,1.025326059336379,1.0,,GA
193.0,98706.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0164642278966636,1.0,,GA
194.0,81421.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.013502275070457,1.0,,GA
195.0,3862.0,beijing_man2,5,True,beijing_man2-beijing_core1-beijing_cloud1,11.03936408233346,1.0,,GA
196.0,3219.0,baoding_man1,36,True,baoding_man1-baoding_cloud,11.039547591630347,1.0,,GA
197.0,24190.0,chengde_man2,63,True,chengde_man2-chengde_edge2,1.042485799724257,1.0,,GA
198.0,20130.0,handan_man2,55,True,handan_man2-handan_edge2,1.0256123093457208,1.0,,GA
199.0,38904.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.015251487733544,1.0,,GA
200.0,9049.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0259059835614746,1.0,,GA
201.0,70887.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0154873811521774,1.0,,GA
202.0,22977.0,handan_man1,54,True,handan_man1-handan_edge1,1.0395835855187276,1.0,,GA
203.0,17929.0,tianjin_man2,19,True,tianjin_man2-tianjin_edge3,6.039692434220207,1.0,,GA
204.0,5382.0,xingtai_man1,57,True,xingtai_man1-xingtai_edge2,11.041788323230628,1.0,,GA
205.0,91566.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0137701325606425,1.0,,GA
206.0,28240.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.0354039665595496,1.0,,GA
207.0,8241.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.0243296770082388,1.0,,GA
208.0,45967.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.0139707338205481,1.0,,GA
209.0,79442.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0166238499123441,1.0,,GA
210.0,44726.0,handan_man1,54,True,handan_man1-handan_edge1,1.0139074807536144,1.0,,GA
211.0,10621.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.0341298763901607,1.0,,GA
212.0,51125.0,tangshan_man1,50,True,tangshan_man1-tangshan_edge1,1.0135295441868035,1.0,,GA
213.0,96902.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0146180033011956,1.0,,GA
214.0,25215.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0305786209307126,1.0,,GA
215.0,12910.0,beijing_man2,10,True,beijing_man2-beijing_edge4,6.034786901069466,1.0,,GA
216.0,91382.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0165293450707809,1.0,,GA
217.0,44166.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0139044328861446,1.0,,GA
218.0,73599.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.016557056577648,1.0,,GA
219.0,24181.0,beijing_man2,9,True,beijing_man2-beijing_edge3,6.0307142929193835,1.0,,GA
220.0,70197.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0150370791701138,1.0,,GA
221.0,58604.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0140625824637337,1.0,,GA
222.0,89418.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0159516257379833,1.0,,GA
223.0,94511.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0162745219493023,1.0,,GA
224.0,39135.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.013970236318579,1.0,,GA
