source_name,source_ID,destination_name,destination_ID,lantency,path,sub_path,tunnelId
tianjin_man2,4,shijiangzhuang_edge2,49,9.49,tianjin_man2-tianjin_core1-shijiangzhuang_core-shijiangzhuang_man2-shijiangzhuang_edge2,"[tianjin_man2-tianjin_core1],[tianjin_core1-shijiangzhuang_core],[shijiangzhuang_core-shijiangzhuang_man2],[shijiangzhuang_man2-shijiangzhuang_edge2]",tianjin_man2~shijiangzhuang_edge2
tianjin_man2,4,tangshan_edge1,50,4.1,tianjin_man2-tianjin_core1-tangshan_core-tangshan_man1-tangshan_edge1,"[tianjin_man2-tianjin_core1],[tianjin_core1-tangshan_core],[tangshan_core-tangshan_man1],[tangshan_man1-tangshan_edge1]",tianjin_man2~tangshan_edge1
tianjin_man2,4,tangshan_edge2,51,4.1,tianjin_man2-tianjin_core1-tangshan_core-tangshan_man2-tangshan_edge2,"[tianjin_man2-tianjin_core1],[tianjin_core1-tangshan_core],[tangshan_core-tangshan_man2],[tangshan_man2-tangshan_edge2]",tianjin_man2~tangshan_edge2
tianjin_man2,4,qhd_edge1,52,6.6,tianjin_man2-tianjin_core1-tangshan_core-qhd_man1-qhd_edge1,"[tianjin_man2-tianjin_core1],[tianjin_core1-tangshan_core],[tangshan_core-qhd_man1],[qhd_man1-qhd_edge1]",tianjin_man2~qhd_edge1
tianjin_man2,4,qhd_edge2,53,7.17,tianjin_man2-tianjin_core1-tangshan_core-qhd_man2-qhd_edge2,"[tianjin_man2-tianjin_core1],[tianjin_core1-tangshan_core],[tangshan_core-qhd_man2],[qhd_man2-qhd_edge2]",tianjin_man2~qhd_edge2
tianjin_man2,4,handan_edge1,54,12.59,tianjin_man2-tianjin_core1-shijiangzhuang_core-handan_man1-handan_edge1,"[tianjin_man2-tianjin_core1],[tianjin_core1-shijiangzhuang_core],[shijiangzhuang_core-handan_man1],[handan_man1-handan_edge1]",tianjin_man2~handan_edge1
tianjin_man2,4,handan_edge2,55,12.59,tianjin_man2-tianjin_core1-shijiangzhuang_core-handan_man2-handan_edge2,"[tianjin_man2-tianjin_core1],[tianjin_core1-shijiangzhuang_core],[shijiangzhuang_core-handan_man2],[handan_man2-handan_edge2]",tianjin_man2~handan_edge2
tianjin_man2,4,xingtai_edge1,56,11.5,tianjin_man2-tianjin_core1-shijiangzhuang_core-xingtai_man1-xingtai_edge1,"[tianjin_man2-tianjin_core1],[tianjin_core1-shijiangzhuang_core],[shijiangzhuang_core-xingtai_man1],[xingtai_man1-xingtai_edge1]",tianjin_man2~xingtai_edge1
tianjin_man2,4,xingtai_edge2,57,11.5,tianjin_man2-tianjin_core1-shijiangzhuang_core-xingtai_man2-xingtai_edge2,"[tianjin_man2-tianjin_core1],[tianjin_core1-shijiangzhuang_core],[shijiangzhuang_core-xingtai_man2],[xingtai_man2-xingtai_edge2]",tianjin_man2~xingtai_edge2
tianjin_man2,4,baoding_edge1,58,10.09,tianjin_man2-tianjin_core1-tangshan_core-baoding_man2-baoding_edge1,"[tianjin_man2-tianjin_core1],[tianjin_core1-tangshan_core],[tangshan_core-baoding_man2],[baoding_man2-baoding_edge1]",tianjin_man2~baoding_edge1
